0,1,2,3,4,5,6,7,8,9,10
65.0,64.0,68.0,62.0,64.0,19.0,19.0,19.0,17.0,13.0,0.0
61.0,64.0,69.0,63.0,63.0,11.0,15.0,14.0,18.0,16.0,0.0
61.0,64.0,67.0,64.0,65.0,10.0,10.0,16.0,17.0,13.0,0.0
64.0,64.0,70.0,64.0,63.0,17.0,21.0,15.0,17.0,12.0,0.0
61.0,65.0,68.0,65.0,63.0,13.0,11.0,13.0,12.0,18.0,0.0
63.0,64.0,67.0,62.0,63.0,15.0,12.0,14.0,13.0,15.0,0.0
64.0,64.0,69.0,63.0,62.0,14.0,19.0,16.0,17.0,18.0,0.0
62.0,66.0,67.0,65.0,63.0,25.0,13.0,14.0,12.0,12.0,0.0
61.0,65.0,69.0,64.0,63.0,11.0,11.0,18.0,20.0,13.0,0.0
60.0,64.0,68.0,63.0,63.0,18.0,10.0,18.0,14.0,11.0,0.0
63.0,66.0,69.0,65.0,62.0,16.0,16.0,10.0,11.0,16.0,0.0
62.0,66.0,69.0,64.0,62.0,16.0,10.0,18.0,21.0,14.0,0.0
65.0,64.0,69.0,62.0,64.0,20.0,16.0,13.0,16.0,14.0,0.0
61.0,67.0,68.0,63.0,62.0,12.0,19.0,12.0,14.0,18.0,0.0
65.0,65.0,67.0,63.0,64.0,11.0,18.0,17.0,14.0,13.0,0.0
64.0,65.0,69.0,62.0,65.0,17.0,13.0,14.0,10.0,8.0,0.0
61.0,65.0,67.0,64.0,64.0,15.0,13.0,22.0,15.0,13.0,0.0
62.0,64.0,69.0,64.0,62.0,16.0,19.0,14.0,13.0,21.0,0.0
64.0,65.0,68.0,63.0,64.0,12.0,18.0,20.0,19.0,14.0,0.0
62.0,66.0,68.0,63.0,64.0,11.0,14.0,13.0,15.0,16.0,0.0
60.0,65.0,68.0,63.0,62.0,12.0,18.0,14.0,11.0,14.0,0.0
60.0,66.0,70.0,62.0,65.0,11.0,17.0,17.0,13.0,14.0,0.0
62.0,64.0,69.0,63.0,65.0,11.0,19.0,13.0,17.0,16.0,0.0
61.0,64.0,68.0,67.0,65.0,13.0,18.0,25.0,17.0,15.0,0.0
61.0,66.0,67.0,64.0,63.0,15.0,15.0,9.0,11.0,21.0,0.0
65.0,67.0,68.0,63.0,65.0,15.0,12.0,12.0,21.0,19.0,0.0
63.0,69.0,68.0,66.0,64.0,10.0,18.0,17.0,13.0,19.0,0.0
64.0,65.0,67.0,65.0,64.0,17.0,12.0,12.0,12.0,16.0,0.0
60.0,65.0,70.0,66.0,62.0,19.0,18.0,13.0,19.0,15.0,0.0
63.0,65.0,67.0,65.0,65.0,13.0,19.0,15.0,16.0,28.0,0.0
62.0,65.0,71.0,63.0,66.0,17.0,14.0,18.0,21.0,16.0,0.0
61.0,66.0,70.0,66.0,62.0,19.0,11.0,17.0,10.0,18.0,0.0
62.0,65.0,69.0,64.0,63.0,18.0,17.0,23.0,17.0,13.0,0.0
62.0,65.0,67.0,64.0,62.0,19.0,15.0,16.0,23.0,16.0,0.0
64.0,64.0,68.0,63.0,65.0,14.0,11.0,11.0,14.0,9.0,0.0
